Air_Quality(PPM),Humidit,Temperature(C)
161.72,60.4,24.0
29.16,69.5,27.3
29.16,63.6,27.5
209.25,63.7,24.9
28.02,69.1,27.3
154.02,61.9,25.2
142.97,59.6,25.1
25.82,63.0,27.5
20.85,62.2,27.5
22.75,62.4,27.5
50.5,58.5,21.5
157.84,60.3,24.8
28.02,69.1,27.3
116.33,62.4,20.4
150.27,55.8,23.7
110.27,62.2,20.4
223.82,63.7,24.9
277.89,60.9,25.3
26.9,69.9,27.1
21.79,62.3,27.5
28.02,63.3,27.5
204.55,62.0,24.8
161.72,62.6,23.1
255.22,60.5,25.2
32.8,54.8,22.6
71.82,44.2,23.3
93.47,50.3,23.2
76.28,45.1,23.4
85.8,57.8,22.0
26.9,66.7,27.4
26.9,70.3,27.1
150.27,63.1,24.8
26.9,66.7,27.4
98.85,56.3,22.7
150.27,52.7,23.7
165.68,61.9,23.4
90.86,47.4,23.4
157.84,53.9,23.6
169.7,58.8,24.6
154.02,61.2,20.6
341.19,58.2,24.5
110.27,53.4,24.7
154.02,59.0,24.7
195.38,51.8,24.5
63.45,59.7,21.1
30.34,65.7,27.5
67.54,60.4,21.0
195.38,50.6,23.8
214.02,64.5,24.8
391.58,55.7,24.7
63.45,44.9,23.4
161.72,50.5,23.8
20.85,62.4,27.4
78.59,58.6,21.7
20.85,62.3,27.4
23.74,62.3,27.5
18.21,62.6,27.5
334.42,55.5,23.8
23.74,62.8,27.4
135.94,55.3,24.7
26.9,62.8,27.5
139.42,58.0,23.6
161.72,61.5,24.7
190.92,63.4,24.9
157.84,55.5,23.6
65.47,47.8,23.0
30.34,64.2,27.5
214.02,57.3,22.1
30.34,66.0,27.5
182.21,63.4,24.9
135.94,51.2,23.8
272.09,59.3,23.0
157.84,62.6,24.9
57.64,45.4,23.8
249.77,60.5,25.2
157.84,55.1,23.6
260.75,60.7,25.3
391.58,60.6,23.0
119.44,56.1,24.6
150.27,63.2,24.9
30.34,64.0,27.5
26.9,63.1,27.5
29.16,64.0,27.5
132.51,63.1,23.2
119.44,56.8,24.6
67.54,47.0,23.2
150.27,63.2,24.9
26.9,67.3,27.3
26.9,63.2,27.5
239.14,63.6,24.9
61.47,59.9,20.7
169.7,63.1,24.8
74.03,58.5,21.6
204.55,56.8,23.4
26.9,63.4,27.4
107.33,62.2,20.5
78.59,44.4,23.4
29.16,66.3,27.5
223.82,63.1,24.9
19.06,62.5,27.5
327.74,60.8,23.0
38.11,56.9,22.0
173.8,62.6,23.3
154.02,59.8,24.8
101.62,56.1,22.7
63.45,60.2,20.8
302.05,60.8,25.3
26.9,63.3,27.5
22.75,62.3,27.5
26.9,62.9,27.5
260.75,59.9,25.2
209.25,64.5,24.9
182.21,60.3,25.2
233.95,60.8,25.3
28.02,68.9,27.3
283.79,55.9,23.6
314.7,59.4,23.2
135.94,52.0,23.7
28.02,69.0,27.3
26.9,66.6,27.5
113.27,44.2,23.3
65.47,47.8,22.9
116.33,51.6,23.1
29.16,64.0,27.5
38.11,67.9,27.3
30.34,66.0,27.5
190.92,63.4,24.9
249.77,50.3,24.5
15.05,50.5,22.8
28.02,68.7,27.4
182.21,52.3,24.5
88.3,57.8,22.0
135.94,52.0,23.8
165.68,50.0,23.8
15.8,51.4,22.8
161.72,50.9,23.8
15.8,50.1,22.9
139.42,51.1,23.8
135.94,59.1,24.7
177.97,62.2,24.8
161.72,60.7,23.6
195.38,60.4,25.2
28.02,63.4,27.5
239.14,60.6,25.3
139.42,57.9,25.4
146.59,57.4,23.6
76.28,58.1,21.7
314.7,51.1,24.6
29.16,69.5,27.3
83.34,44.9,23.4
348.07,60.2,23.3
116.33,51.2,23.2
26.9,67.2,27.4
28.02,69.0,27.4
50.5,46.5,23.2
28.02,68.8,27.4
195.38,50.6,23.8
157.84,54.1,23.6
139.42,57.5,23.6
139.42,51.1,23.7
150.27,60.7,24.0
23.74,62.9,27.4
150.27,51.0,23.8
19.94,62.5,27.4
150.27,62.2,25.2
277.89,60.7,25.2
122.62,50.6,23.2
28.02,69.0,27.4
150.27,58.5,23.7
98.85,56.2,22.7
98.85,44.6,23.2
101.62,45.9,23.6
28.02,66.4,27.4
30.34,64.7,27.5
25.82,67.7,27.3
26.9,70.3,27.1
22.75,62.4,27.5
362.14,60.9,23.2
277.89,57.6,23.3
113.27,58.9,25.1
76.28,58.2,21.7
277.89,60.9,25.2
209.25,49.4,24.5
190.92,50.6,23.8
190.92,50.6,23.8
25.82,62.4,27.5
83.34,48.8,23.4
50.5,58.5,21.5
71.82,44.2,23.4
69.66,45.4,23.8
19.94,62.5,27.4
161.72,60.7,24.8
260.75,62.0,24.8
321.17,51.2,24.6
28.02,68.5,27.5
260.75,61.1,25.2
83.34,57.7,22.0
98.85,58.6,21.6
24.77,63.1,27.4
132.51,61.3,21.3
26.9,67.5,27.3
161.72,63.3,24.9
150.27,61.0,21.7
26.9,67.4,27.3
384.05,60.5,23.2
150.27,51.1,23.8
135.94,59.8,25.2
98.85,50.2,23.3
122.62,62.6,20.4
25.82,67.6,27.4
71.82,44.3,23.4
154.02,54.7,23.6
28.02,63.3,27.5
19.06,62.5,27.6
150.27,63.3,24.9
289.78,60.7,25.2
391.58,55.5,24.7
32.8,56.5,22.3
199.93,50.6,23.8
110.27,62.9,20.6
150.27,56.1,23.7
23.74,62.7,27.4
83.34,49.7,23.3
129.15,55.7,24.7
129.15,51.7,23.7
28.02,66.4,27.5
88.3,48.2,23.4
289.78,61.2,25.2
19.06,62.8,27.4
177.97,61.2,24.7
289.78,60.6,25.2
47.17,68.5,27.6
362.14,60.7,23.2
50.5,58.0,21.6
122.62,53.2,24.6
135.94,63.0,23.3
26.9,67.5,27.4
65.47,44.1,23.4
376.64,60.9,23.1
15.8,50.1,22.9
26.9,67.4,27.3
169.7,62.5,23.3
28.02,70.5,27.0
50.5,68.5,27.7
228.84,64.8,24.8
28.02,68.8,27.4
21.79,62.2,27.5
107.33,62.3,20.5
29.16,63.7,27.5
107.33,50.5,23.2
26.9,66.7,27.4
53.99,68.6,27.7
93.47,56.4,22.7
150.27,58.3,23.7
30.34,64.4,27.5
132.51,46.4,23.4
50.5,57.9,21.6
116.33,54.8,22.9
132.51,51.3,23.7
355.05,58.5,24.6
150.27,60.2,24.8
308.32,60.8,25.2
135.94,51.4,23.8
90.86,56.4,22.7
110.27,62.0,20.6
76.28,46.7,23.4
177.97,61.9,23.5
107.33,62.2,20.4
16.58,49.6,23.0
24.77,62.9,27.5
63.45,47.3,23.1
139.42,57.4,25.5
214.02,61.0,25.2
272.09,58.0,23.2
173.8,59.6,25.2
48.82,57.3,21.8
88.3,58.7,21.6
119.44,61.8,20.5
154.02,62.0,25.2
38.11,68.1,27.3
28.02,63.3,27.5
47.17,47.2,23.4
38.11,57.0,22.0
28.02,66.4,27.5
135.94,59.8,25.2
61.47,59.4,21.3
384.05,55.4,24.7
228.84,56.5,23.4
63.45,44.8,23.4
146.59,58.1,23.7
113.27,45.6,23.4
104.45,45.0,23.3
376.64,58.6,24.6
355.05,58.5,24.6
182.21,62.1,23.8
83.34,57.0,22.3
165.68,61.4,24.8
239.14,60.5,25.2
29.16,63.8,27.5
150.27,58.9,24.7
30.34,65.9,27.5
28.02,53.0,22.7
28.02,69.9,26.8
154.02,50.8,23.8
186.53,60.4,25.2
139.42,58.5,24.8
334.42,58.3,24.5
26.9,62.9,27.5
29.16,63.9,27.5
218.88,64.0,24.9
266.37,59.3,23.0
150.27,63.2,24.9
28.02,63.2,27.5
110.27,62.8,20.5
142.97,62.8,20.4
19.94,62.4,27.5
161.72,63.2,24.8
157.84,54.5,23.5
59.54,47.5,23.1
104.45,61.7,20.5
26.9,70.0,27.2
204.55,56.7,23.4
52.22,68.6,27.7
52.22,58.8,21.4
65.47,47.6,23.0
204.55,56.7,23.4
76.28,44.6,23.4
26.9,66.9,27.4
150.27,60.9,21.6
218.88,62.1,24.8
177.97,62.8,23.1
150.27,61.2,21.5
165.68,50.1,23.8
101.62,61.8,20.5
24.77,63.0,27.4
26.9,70.3,27.1
150.27,57.8,23.6
277.89,59.8,22.9
150.27,59.7,25.2
26.9,63.2,27.5
25.82,67.0,27.4
289.78,60.8,25.2
154.02,61.3,24.8
24.77,63.1,27.4
139.42,58.7,24.8
28.02,70.2,26.8
157.84,50.5,23.8
30.34,64.8,27.5
30.34,64.4,27.5
165.68,63.3,24.9
150.27,50.9,23.8
327.74,60.0,23.3
22.75,62.5,27.6
30.34,64.0,27.5
161.72,63.2,24.8
391.58,54.7,24.7
63.45,59.8,21.1
348.07,60.1,23.3
204.55,63.5,24.9
45.57,57.2,22.3
199.93,64.1,24.9
101.62,45.0,23.3
50.5,68.5,27.6
362.14,58.7,24.6
154.02,52.4,23.8
25.82,62.5,27.5
384.05,58.7,24.6
98.85,56.4,22.7
157.84,51.1,23.8
157.84,58.5,24.8
157.84,50.6,23.8
139.42,59.2,24.7
154.02,62.3,25.2
55.8,47.4,23.0
157.84,63.1,24.8
35.39,56.9,22.0
22.75,62.5,27.5
182.21,62.2,23.6
28.02,69.0,27.3
139.42,63.0,23.2
25.82,53.0,22.7
376.64,60.8,23.1
384.05,58.6,24.6
146.59,63.2,24.9
150.27,59.0,24.7
88.3,48.0,23.4
76.28,58.2,21.8
83.34,49.3,23.3
139.42,55.2,24.7
85.8,57.3,22.5
142.97,60.3,24.7
199.93,60.9,23.8
28.02,66.5,27.4
76.28,58.3,21.7
142.97,59.2,24.7
104.45,61.9,20.5
142.97,57.5,23.7
399.21,60.7,23.1
173.8,63.9,24.9
28.02,69.1,27.3
26.9,70.3,27.1
24.77,62.5,27.4
26.9,63.3,27.4
362.14,58.6,24.6
96.13,57.2,22.6
96.13,56.4,22.7
85.8,49.6,23.3
83.34,49.1,23.3
122.62,53.4,24.7
63.45,44.3,23.4
98.85,44.7,23.2
295.87,59.8,22.9
150.27,61.2,24.8
19.06,62.5,27.5
30.34,64.0,27.5
24.77,63.0,27.5
16.58,49.4,23.0
25.82,67.9,27.3
85.8,57.0,22.4
28.02,69.0,27.3
348.07,60.1,23.3
19.06,62.7,27.4
61.47,47.4,23.1
135.94,51.5,23.7
157.84,53.2,23.6
139.42,59.4,24.7
98.85,46.7,23.5
369.34,58.2,24.5
25.82,67.0,27.4
30.34,64.0,27.6
30.34,65.9,27.5
28.02,53.7,22.7
101.62,55.8,22.8
169.7,49.8,23.8
15.8,50.3,22.9
165.68,50.3,23.8
150.27,61.6,23.2
39.53,68.0,27.3
30.34,65.3,27.5
17.38,49.0,23.2
173.8,50.9,23.8
327.74,60.6,22.9
18.21,62.4,27.6
107.33,62.0,20.5
83.34,48.7,23.4
71.82,44.0,23.4
139.42,57.4,25.5
289.78,61.2,25.2
90.86,44.3,23.3
376.64,60.4,23.4
26.9,67.3,27.3
255.22,57.7,23.3
218.88,60.6,25.2
244.41,64.0,24.8
22.75,62.4,27.5
90.86,47.4,23.4
157.84,54.0,23.6
129.15,62.8,20.4
28.02,69.0,27.3
29.16,66.1,27.5
65.47,44.8,23.4
34.07,68.4,27.3
146.59,59.3,24.7
29.16,63.5,27.5
376.64,60.7,23.1
119.44,54.0,23.0
30.34,66.2,27.5
52.22,68.3,27.5
30.34,64.2,27.5
19.06,62.7,27.5
277.89,60.5,25.2
116.33,54.3,23.0
26.9,67.1,27.3
24.77,63.1,27.4
255.22,60.8,25.2
233.95,60.9,25.2
29.16,63.7,27.5
104.45,60.4,23.9
195.38,50.7,23.8
26.9,63.0,27.5
399.21,60.4,23.3
139.42,62.8,20.4
161.72,50.4,23.8
173.8,63.6,24.9
65.47,60.1,20.8
28.02,68.8,27.3
22.75,62.4,27.6
28.02,69.1,27.3
23.74,62.8,27.4
28.02,66.6,27.4
314.7,59.7,23.2
30.34,64.5,27.5
154.02,52.3,23.8
90.86,46.3,23.6
25.82,63.0,27.4
135.94,51.4,23.7
369.34,58.6,24.6
67.54,60.5,20.9
341.19,61.0,23.2
26.9,69.4,27.0
29.16,69.5,27.3
142.97,57.5,23.5
122.62,58.1,21.9
57.64,44.9,23.3
228.84,61.2,25.2
302.05,59.7,23.0
28.02,68.5,27.5
150.27,61.9,25.2
26.9,70.3,27.0
348.07,58.5,24.6
139.42,63.2,23.2
28.02,70.6,26.9
29.16,66.2,27.5
186.53,57.5,22.0
173.8,62.7,23.2
30.34,65.7,27.5
122.62,60.8,24.0
78.59,58.4,21.8
28.02,69.0,27.3
30.34,66.0,27.5
26.9,70.3,27.0
110.27,58.1,21.9
204.55,63.5,24.9
55.8,59.2,21.3
249.77,56.3,23.6
266.37,59.6,23.0
22.75,62.4,27.6
29.16,63.7,27.5
40.98,57.0,22.0
29.16,65.9,27.5
169.7,62.9,23.2
384.05,61.4,23.2
199.93,64.6,24.9
154.02,56.4,23.7
218.88,64.4,24.9
67.54,44.1,23.4
218.88,64.3,24.9
139.42,61.6,24.7
161.72,59.7,23.9
348.07,60.7,23.1
65.47,46.7,23.4
150.27,63.3,24.9
277.89,61.1,25.2
150.27,62.7,20.4
25.82,67.0,27.4
96.13,56.6,22.6
57.64,47.8,23.0
295.87,60.5,25.2
209.25,63.2,24.9
25.82,53.3,22.7
65.47,47.5,22.9
150.27,62.0,25.2
384.05,54.9,24.6
169.7,57.1,22.1
61.47,59.9,20.8
107.33,44.2,23.3
96.13,57.2,22.5
233.95,61.9,24.9
78.59,57.2,22.4
369.34,60.9,23.2
18.21,48.3,23.4
165.68,56.9,23.7
26.9,63.2,27.5
80.94,44.3,23.3
85.8,60.9,20.6
21.79,62.3,27.5
30.34,64.1,27.5
83.34,49.1,23.3
139.42,57.9,23.7
161.72,63.3,24.8
218.88,46.8,23.4
53.99,58.9,21.4
214.02,61.2,25.2
15.8,50.4,22.8
110.27,45.4,23.4
29.16,66.2,27.5
308.32,59.5,23.2
173.8,61.7,23.8
74.03,47.1,23.5
154.02,61.8,25.2
80.94,58.5,21.6
76.28,58.2,21.7
157.84,63.3,24.8
169.7,62.1,23.7
146.59,51.2,23.8
24.77,62.6,27.4
30.34,65.5,27.5
334.42,58.3,24.5
244.41,62.2,24.9
150.27,51.0,23.8
150.27,56.1,23.7
25.82,67.7,27.4
39.53,56.9,22.0
96.13,46.8,23.5
132.51,51.3,23.8
277.89,63.3,24.9
223.82,63.5,24.9
146.59,57.9,23.6
67.54,45.5,23.4
26.9,66.7,27.4
31.55,68.4,27.6
96.13,56.6,22.6
218.88,61.1,25.2
26.9,62.8,27.5
29.16,66.2,27.5
69.66,46.1,23.7
169.7,62.8,23.2
239.14,61.5,24.8
165.68,60.4,23.6
228.84,56.6,23.5
23.74,62.9,27.5
154.02,61.3,23.3
132.51,61.5,20.6
19.06,62.5,27.5
177.97,57.2,22.1
107.33,45.4,23.4
260.75,55.9,23.6
165.68,57.5,23.8
39.53,57.2,21.9
35.39,68.3,27.3
150.27,61.2,21.5
169.7,61.4,24.8
26.9,63.2,27.5
28.02,70.1,26.8
132.51,57.7,24.8
157.84,61.7,24.8
29.16,63.7,27.5
28.02,66.6,27.5
150.27,50.9,23.8
161.72,60.1,23.9
28.02,70.1,26.8
29.16,63.7,27.5
218.88,49.2,24.5
334.42,58.4,24.5
150.27,51.2,23.8
384.05,60.5,23.3
249.77,63.4,24.8
65.47,45.0,23.4
157.84,62.7,23.1
122.62,62.6,20.4
107.33,61.9,20.6
31.55,56.5,22.3
26.9,69.6,27.0
28.02,68.9,27.4
260.75,61.1,25.2
63.45,47.5,22.9
223.82,63.5,24.9
125.86,55.7,24.7
150.27,62.7,23.1
129.15,53.5,23.1
26.9,67.4,27.3
150.27,51.2,23.8
150.27,62.1,23.3
272.09,60.7,25.3
157.84,55.1,23.6
19.94,62.6,27.5
249.77,60.6,25.2
223.82,60.6,25.2
83.34,49.1,23.3
83.34,49.5,23.3
150.27,58.8,24.7
283.79,58.5,23.2
29.16,63.8,27.5
28.02,70.4,27.0
348.07,60.9,23.3
327.74,50.7,24.5
135.94,59.5,25.2
391.58,61.4,23.2
186.53,50.6,23.8
169.7,62.1,24.7
157.84,62.6,23.2
283.79,60.8,25.2
85.8,49.9,23.2
29.16,63.5,27.5
63.45,59.9,20.8
63.45,47.8,22.9
277.89,60.7,25.2
255.22,60.8,25.2
150.27,52.9,23.7
113.27,62.4,20.4
139.42,46.1,23.6
157.84,55.5,23.6
24.77,62.4,27.5
26.9,69.4,27.0
69.66,44.3,23.4
24.77,62.8,27.4
169.7,50.3,23.8
28.02,62.8,27.6
177.97,62.2,24.8
93.47,56.7,22.6
161.72,53.7,23.6
63.45,47.1,23.0
113.27,58.2,21.9
161.72,50.6,23.8
157.84,50.7,23.8
48.82,68.5,27.6
249.77,50.7,23.8
104.45,44.4,23.3
110.27,62.7,20.4
26.9,70.3,27.1
209.25,57.2,22.1
135.94,56.6,25.5
40.98,68.5,27.4
104.45,62.0,20.3
