Air_Quality(PPM),Humidit,Temperature(C)
233.95,61.6,24.8
135.94,51.7,23.8
362.14,60.8,23.2
161.72,63.3,24.8
90.86,44.3,23.3
98.85,50.2,23.3
199.93,61.0,25.2
28.02,66.6,27.4
277.89,59.5,23.0
154.02,61.4,23.2
165.68,63.3,24.9
182.21,62.0,23.8
266.37,63.7,24.8
302.05,51.0,24.6
334.42,59.9,23.3
63.45,59.9,20.8
80.94,58.8,21.6
384.05,60.7,23.3
150.27,51.1,23.8
204.55,56.7,23.4
93.47,47.3,23.4
132.51,52.1,23.8
71.82,44.3,23.3
161.72,63.0,24.8
150.27,61.2,21.5
314.7,60.7,22.9
182.21,63.4,24.9
119.44,54.0,23.0
28.02,68.8,27.4
85.8,44.3,23.3
165.68,56.9,23.7
20.85,62.3,27.4
35.39,56.9,22.0
142.97,56.5,25.5
113.27,62.3,20.9
29.16,64.1,27.6
28.02,68.9,27.3
28.02,63.3,27.5
30.34,64.5,27.5
26.9,70.3,27.0
277.89,56.0,23.6
26.9,69.6,27.0
157.84,58.9,23.8
239.14,60.6,25.2
24.77,62.7,27.4
47.17,68.5,27.6
31.55,56.1,22.4
228.84,64.3,24.9
71.82,58.4,21.7
376.64,60.4,23.4
362.14,58.6,24.6
23.74,62.6,27.4
28.02,63.2,27.5
209.25,57.2,22.1
186.53,63.8,24.9
39.53,56.9,22.0
93.47,47.5,23.4
150.27,51.0,23.8
129.15,57.9,24.7
204.55,62.0,24.8
110.27,62.2,20.4
165.68,63.1,24.9
26.9,66.7,27.4
165.68,62.4,23.2
204.55,61.0,25.2
22.75,62.4,27.6
135.94,63.0,23.3
161.72,50.6,23.8
61.47,47.4,23.1
161.72,61.3,23.2
154.02,55.1,23.6
135.94,51.4,23.8
107.33,62.5,20.5
119.44,58.9,25.2
218.88,64.3,24.9
125.86,61.5,21.3
110.27,50.1,23.3
26.9,67.3,27.3
173.8,63.9,24.9
110.27,62.2,20.5
30.34,65.3,27.5
195.38,51.8,24.5
150.27,61.1,21.5
157.84,60.9,24.8
55.8,44.9,23.3
260.75,57.9,23.3
129.15,55.1,24.7
52.22,68.6,27.7
204.55,63.4,24.9
85.8,49.7,23.3
15.05,51.4,22.8
65.47,47.8,22.9
88.3,58.7,21.6
218.88,60.4,25.2
24.77,62.4,27.4
362.14,60.4,23.2
135.94,59.2,24.7
355.05,58.5,24.6
150.27,63.2,24.9
28.02,68.9,27.4
289.78,60.8,25.2
154.02,54.8,23.6
391.58,54.8,24.7
28.02,69.1,27.3
204.55,63.8,24.9
161.72,53.4,23.7
113.27,52.6,23.1
39.53,68.0,27.3
30.34,64.9,27.5
122.62,59.4,25.1
26.9,63.3,27.4
93.47,47.4,23.4
85.8,57.3,22.5
50.5,58.0,21.6
52.22,68.3,27.5
260.75,62.0,24.8
391.58,55.7,24.7
32.8,56.6,22.2
32.8,56.5,22.3
165.68,50.2,23.8
150.27,62.4,23.3
76.28,58.2,21.7
28.02,66.5,27.4
19.06,62.4,27.4
177.97,64.3,24.9
19.06,62.5,27.5
122.62,52.3,23.8
277.89,58.6,23.2
29.16,68.5,27.5
228.84,64.8,24.8
289.78,60.7,25.2
83.34,57.0,22.3
20.85,62.3,27.5
119.44,46.0,23.7
28.02,68.7,27.4
146.59,58.1,23.7
93.47,56.7,22.6
28.02,63.3,27.5
28.02,63.3,27.5
63.45,47.8,22.9
244.41,64.0,24.8
71.82,44.2,23.3
74.03,47.1,23.5
25.82,67.9,27.3
289.78,60.8,25.2
18.21,48.5,23.4
146.59,59.0,24.7
26.9,63.2,27.5
150.27,59.9,24.7
29.16,63.7,27.5
28.02,68.8,27.4
96.13,46.6,23.5
93.47,56.4,22.7
26.9,67.6,27.4
24.77,62.6,27.4
161.72,50.5,23.8
399.21,60.7,23.1
218.88,64.3,24.9
96.13,56.4,22.7
53.99,48.0,23.0
154.02,54.7,23.6
154.02,61.4,23.2
314.7,59.4,23.2
186.53,50.6,23.8
69.66,47.2,23.2
260.75,61.1,25.2
29.16,69.6,27.2
15.8,50.1,22.9
157.84,55.1,23.6
18.21,62.3,27.6
199.93,61.6,24.8
113.27,44.2,23.3
161.72,60.4,23.8
26.9,67.1,27.3
154.02,52.3,23.8
63.45,60.5,20.8
15.05,52.7,22.7
161.72,63.3,24.9
29.16,63.7,27.5
150.27,62.0,25.2
154.02,54.9,23.6
369.34,58.6,24.6
30.34,65.7,27.5
26.9,66.6,27.5
26.9,70.0,26.8
272.09,59.1,23.0
21.79,62.3,27.5
302.05,60.7,25.2
277.89,59.3,23.0
96.13,47.2,23.4
48.82,57.3,21.8
28.02,70.2,27.0
52.22,58.8,21.4
29.16,63.8,27.5
28.02,63.4,27.5
150.27,61.0,21.5
28.02,68.5,27.5
165.68,62.5,23.2
150.27,51.1,23.8
132.51,51.3,23.8
277.89,60.5,25.2
122.62,62.6,20.4
88.3,57.9,22.0
30.34,56.0,22.3
23.74,62.8,27.4
101.62,56.6,22.7
182.21,61.8,23.7
55.8,68.3,27.6
26.9,67.0,27.4
165.68,62.7,23.2
369.34,58.6,24.6
25.82,67.6,27.4
132.51,55.4,24.7
129.15,53.5,23.1
157.84,50.6,23.8
154.02,55.4,23.6
29.16,63.7,27.5
38.11,68.1,27.3
25.82,67.6,27.4
83.34,57.0,22.4
228.84,60.7,25.3
142.97,51.0,23.8
150.27,50.9,23.8
289.78,60.7,25.2
96.13,56.7,22.6
132.51,58.4,25.0
74.03,46.0,23.8
150.27,51.0,23.8
157.84,62.7,23.1
19.06,62.4,27.4
132.51,59.3,25.1
30.34,64.0,27.5
107.33,62.5,20.4
161.72,59.4,24.7
146.59,62.4,23.2
63.45,44.9,23.4
34.07,56.9,22.1
80.94,58.8,21.6
165.68,63.3,24.9
83.34,44.9,23.4
67.54,44.2,23.4
71.82,44.1,23.3
15.8,50.3,22.9
101.62,56.1,22.7
30.34,65.9,27.5
20.85,62.3,27.5
26.9,67.3,27.4
22.75,62.4,27.5
119.44,54.5,24.7
25.82,62.4,27.5
239.14,61.0,25.2
157.84,61.4,24.7
255.22,60.8,25.2
157.84,50.5,23.8
61.47,59.9,20.7
154.02,62.3,25.2
177.97,60.3,25.2
154.02,58.5,23.8
29.16,69.4,27.3
177.97,61.8,23.7
157.84,51.1,23.8
161.72,63.2,24.8
341.19,59.8,23.3
32.8,68.3,27.3
154.02,54.6,23.6
28.02,69.0,27.4
52.22,68.2,27.5
23.74,62.8,27.4
355.05,60.8,23.3
157.84,54.0,23.5
308.32,59.5,23.2
161.72,63.1,24.9
214.02,57.3,23.3
150.27,59.0,24.7
249.77,60.6,25.2
26.9,67.3,27.3
129.15,63.0,23.1
116.33,61.7,21.2
53.99,58.9,21.4
19.06,62.5,27.5
26.9,63.2,27.5
154.02,62.8,24.8
96.13,57.2,22.6
327.74,59.9,23.3
150.27,63.1,24.9
29.16,68.6,27.5
30.34,64.2,27.5
154.02,52.4,23.8
30.34,64.0,27.5
76.28,61.1,20.6
157.84,53.6,23.6
266.37,57.8,23.3
26.9,66.9,27.4
204.55,61.3,24.8
125.86,60.9,23.9
61.47,44.3,23.4
348.07,60.1,23.2
204.55,56.8,23.4
50.5,68.5,27.6
355.05,60.9,23.2
110.27,62.0,20.5
29.16,66.2,27.5
25.82,62.9,27.5
321.17,60.1,23.2
228.84,56.6,23.5
15.8,51.6,22.8
177.97,61.2,24.7
28.02,66.5,27.4
28.02,70.0,26.8
266.37,59.7,23.0
132.51,63.0,23.3
277.89,58.4,23.2
150.27,51.3,23.8
30.34,66.3,27.5
132.51,59.4,24.7
150.27,61.9,25.2
150.27,57.5,23.6
26.9,66.7,27.4
209.25,56.6,23.4
38.11,56.9,22.0
85.8,49.3,23.3
139.42,61.3,21.4
249.77,60.7,25.2
50.5,57.8,21.5
65.47,46.6,23.4
129.15,55.7,24.7
341.19,58.4,24.6
48.82,58.1,21.6
85.8,57.4,22.5
135.94,52.0,23.8
26.9,67.5,27.3
302.05,60.5,25.2
93.47,44.6,23.4
190.92,50.6,23.8
24.77,62.9,27.5
69.66,45.4,23.8
132.51,59.3,24.7
157.84,63.1,24.8
182.21,62.2,23.6
165.68,61.9,23.4
169.7,62.9,23.2
204.55,56.9,23.4
65.47,47.8,23.0
113.27,52.2,23.2
122.62,53.2,24.6
314.7,59.7,23.2
110.27,50.4,23.2
327.74,60.6,22.9
30.34,55.9,22.3
272.09,59.7,23.0
69.66,47.7,23.1
69.66,45.6,23.8
190.92,60.2,25.2
116.33,57.0,24.7
266.37,60.6,25.2
150.27,52.2,23.6
154.02,62.4,25.2
190.92,50.6,23.8
52.22,58.1,21.5
321.17,51.7,24.6
23.74,62.7,27.4
65.47,47.7,23.0
116.33,60.5,23.9
26.9,70.4,27.0
22.75,62.3,27.5
25.82,67.0,27.4
30.34,64.1,27.5
96.13,47.2,23.5
334.42,58.4,24.5
327.74,60.0,23.3
83.34,45.1,23.4
199.93,63.5,24.9
26.9,66.7,27.4
266.37,59.6,23.0
272.09,58.8,23.2
30.34,64.0,27.5
28.02,68.8,27.4
334.42,58.3,24.5
28.02,66.6,27.4
61.47,61.0,20.7
122.62,50.6,23.2
28.02,66.2,27.5
50.5,58.5,21.5
321.17,60.7,23.0
29.16,69.4,27.3
15.8,50.1,22.9
150.27,57.8,23.6
25.82,67.0,27.4
57.64,44.9,23.3
30.34,64.7,27.5
341.19,58.2,24.5
29.16,55.5,22.5
113.27,56.5,24.6
228.84,57.5,23.3
63.45,44.8,23.4
61.47,60.9,20.7
30.34,65.9,27.5
161.72,50.6,23.8
239.14,57.7,23.2
80.94,57.2,22.3
249.77,63.4,24.8
228.84,62.4,24.8
28.02,68.9,27.3
150.27,61.6,23.2
209.25,64.1,24.9
36.73,68.3,27.3
169.7,62.0,23.4
29.16,66.2,27.5
150.27,55.8,23.6
132.51,57.7,24.8
169.7,62.5,23.3
146.59,61.2,21.5
83.34,57.7,22.0
74.03,58.2,21.7
101.62,55.8,22.8
154.02,61.3,23.3
150.27,63.3,24.9
173.8,62.7,23.2
113.27,52.0,23.1
244.41,61.1,25.3
28.02,68.5,27.5
59.54,44.5,23.4
29.16,63.6,27.5
362.14,60.8,23.2
255.22,60.6,25.2
104.45,61.8,20.5
57.64,47.7,23.0
139.42,46.1,23.6
218.88,49.2,24.5
30.34,69.7,27.2
28.02,53.7,22.7
165.68,62.8,23.1
25.82,67.7,27.4
30.34,66.2,27.5
129.15,46.0,23.4
277.89,60.9,25.2
26.9,66.7,27.4
139.42,58.5,24.8
22.75,62.3,27.5
28.02,63.2,27.5
122.62,53.8,23.0
228.84,60.9,25.2
38.11,68.4,27.3
119.44,62.6,20.5
98.85,46.9,23.5
104.45,55.5,24.7
93.47,53.4,24.6
23.74,62.8,27.4
129.15,57.5,24.8
384.05,58.6,24.6
150.27,55.8,23.6
107.33,62.4,20.6
132.51,51.7,23.8
67.54,47.9,23.0
150.27,52.9,23.7
29.16,63.7,27.5
169.7,50.3,23.8
26.9,70.0,27.2
24.77,62.9,27.5
74.03,58.5,21.6
116.33,54.8,22.9
26.9,67.7,27.3
28.02,66.6,27.4
83.34,57.2,22.4
65.47,60.1,20.8
93.47,46.6,23.5
161.72,62.4,23.2
61.47,60.9,20.8
157.84,50.6,23.8
209.25,57.4,22.1
101.62,55.7,22.8
218.88,61.1,25.2
161.72,50.5,23.8
239.14,60.5,25.2
173.8,61.9,23.5
154.02,61.3,24.8
277.89,58.3,23.2
63.45,60.3,20.8
129.15,61.4,21.3
26.9,63.2,27.5
150.27,62.0,25.2
139.42,51.2,23.8
67.54,47.0,23.2
135.94,57.5,23.6
369.34,60.8,23.2
93.47,61.2,20.6
71.82,46.7,23.5
161.72,50.9,23.8
233.95,60.2,25.2
233.95,63.7,24.9
157.84,50.6,23.8
362.14,58.7,24.6
24.77,63.0,27.4
101.62,44.7,23.2
327.74,59.9,23.3
74.03,45.7,23.8
71.82,46.3,23.6
21.79,62.3,27.5
157.84,50.7,23.8
24.77,63.1,27.4
165.68,50.0,23.8
26.9,63.2,27.5
63.45,60.1,20.8
266.37,58.7,23.2
369.34,58.2,24.5
169.7,62.1,23.7
28.02,68.8,27.3
321.17,59.7,23.2
173.8,50.6,23.8
154.02,61.9,25.2
362.14,60.7,23.2
96.13,46.8,23.5
107.33,62.5,20.5
239.14,61.5,24.8
76.28,46.7,23.4
61.47,59.4,21.3
355.05,60.1,23.3
327.74,60.8,25.2
308.32,60.7,22.9
384.05,60.5,23.3
218.88,56.6,23.4
209.25,63.2,24.8
122.62,55.1,24.7
244.41,60.1,25.2
61.47,60.0,20.7
348.07,58.5,24.6
29.16,69.4,27.3
63.45,60.6,20.9
157.84,50.5,23.8
110.27,62.9,20.6
90.86,57.0,22.4
23.74,62.4,27.4
150.27,58.8,24.7
150.27,62.0,25.2
44.0,56.9,21.9
204.55,56.9,23.3
15.8,50.3,22.9
150.27,51.2,23.8
295.87,55.9,23.7
255.22,60.9,25.2
135.94,51.5,23.8
209.25,61.2,25.2
28.02,63.3,27.5
233.95,61.0,25.2
199.93,50.6,23.8
295.87,60.5,25.2
272.09,58.9,23.1
40.98,56.9,21.9
249.77,60.6,25.2
98.85,58.6,21.6
19.94,62.3,27.5
67.54,60.5,20.9
28.02,68.9,27.3
28.02,70.1,26.8
182.21,60.3,25.2
48.82,57.7,21.7
26.9,63.2,27.5
132.51,61.6,20.6
154.02,59.6,25.2
228.84,56.5,23.4
28.02,70.1,26.8
223.82,60.9,25.2
29.16,69.3,27.3
88.3,48.3,23.4
173.8,59.6,25.2
78.59,44.4,23.4
135.94,57.9,25.2
165.68,57.5,23.8
218.88,61.1,25.2
161.72,50.3,23.8
154.02,51.0,23.8
173.8,62.6,23.3
110.27,61.7,20.5
314.7,60.0,23.3
55.8,46.5,23.4
26.9,69.3,27.1
150.27,60.9,21.6
272.09,59.2,23.0
348.07,60.9,23.3
146.59,57.4,23.6
21.79,62.2,27.5
157.84,60.5,24.8
199.93,62.2,23.7
93.47,56.3,22.7
116.33,51.1,23.2
30.34,65.7,27.5
169.7,63.2,24.9
80.94,58.8,21.7
67.54,46.6,23.4
214.02,64.4,24.8
83.34,50.1,23.3
28.02,68.9,27.4
399.21,58.6,24.6
35.39,68.3,27.3
28.02,53.0,22.7
113.27,55.4,22.8
26.9,63.1,27.5
135.94,46.5,23.5
157.84,62.6,24.9
23.74,62.6,27.4
76.28,58.1,21.7
255.22,57.7,23.3
19.06,62.5,27.5
19.06,62.5,27.6
110.27,53.5,24.7
29.16,55.3,22.5
65.47,47.6,22.9
150.27,61.2,21.5
157.84,50.6,23.8
52.22,57.0,21.9
52.22,68.2,27.5
157.84,61.2,20.6
150.27,61.7,23.2
98.85,58.1,21.9
55.8,48.1,23.0
65.47,44.3,23.4
28.02,69.0,27.3
98.85,56.4,22.7
218.88,63.8,24.9
218.88,63.5,24.9
